#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
205	NM_001276458.2	chr4	-	139057219	139084224	139058982	139084190	7	139057219,139060323,139061864,139067683,139071865,139073453,139084132,	139059607,139060674,139062057,139067770,139072003,139073567,139084224,	0	ELF2	cmpl	cmpl	2,2,1,1,1,1,0,
205	NM_001276459.2	chr4	-	139057219	139084224	139058982	139084190	6	139057219,139060323,139061864,139071865,139073453,139084132,	139059607,139060674,139062057,139072003,139073567,139084224,	0	ELF2	cmpl	cmpl	2,2,1,1,1,0,
205	NM_001331036.2	chr4	-	139057219	139177218	139058982	139137701	10	139057219,139060323,139061864,139067683,139071865,139073453,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139067770,139072039,139073567,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,1,1,0,0,-1,-1,
205	NM_001371324.1	chr4	-	139057224	139177218	139058982	139137701	11	139057224,139060323,139061864,139067683,139071865,139073453,139125163,139137629,139139412,139167901,139176966,	139059607,139060674,139062057,139067770,139072003,139073567,139125329,139137867,139139497,139168042,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,1,1,0,0,-1,-1,-1,
205	NM_001371336.1	chr4	-	139057224	139177218	139058982	139137701	9	139057224,139060323,139061864,139071865,139073453,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139072039,139073567,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,1,0,0,-1,-1,
205	NM_001371337.1	chr4	-	139057224	139177218	139058982	139073493	11	139057224,139060323,139061864,139067683,139071865,139073453,139116648,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139067770,139072003,139073567,139116807,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,1,0,-1,-1,-1,-1,-1,
205	NM_001371338.1	chr4	-	139057224	139177218	139058982	139073493	10	139057224,139060323,139061864,139071865,139073453,139116648,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139072039,139073567,139116807,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,0,-1,-1,-1,-1,-1,
205	NM_001371339.1	chr4	-	139057224	139177218	139058982	139073493	10	139057224,139060323,139061864,139071865,139073453,139116648,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139072003,139073567,139116751,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,0,-1,-1,-1,-1,-1,
205	NM_006874.4	chr4	-	139057219	139084224	139058982	139084190	7	139057219,139060323,139061864,139067683,139071865,139073453,139084132,	139059607,139060674,139062057,139067770,139072039,139073567,139084224,	0	ELF2	cmpl	cmpl	2,2,1,1,1,1,0,
205	NM_201999.3	chr4	-	139057219	139177218	139058982	139137701	10	139057219,139060323,139061864,139067683,139071865,139073453,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139067770,139072003,139073567,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,1,1,0,0,-1,-1,
205	XM_005262805.2	chr4	-	139057854	139177218	139058982	139137701	9	139057854,139060323,139061864,139071865,139073453,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139072003,139073567,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,1,0,0,-1,-1,
205	XM_011531711.2	chr4	-	139057854	139125251	139058982	139073493	8	139057854,139060323,139061864,139067683,139071865,139073453,139116648,139125163,	139059607,139060674,139062057,139067770,139072039,139073567,139116807,139125251,	0	ELF2	cmpl	cmpl	2,2,1,1,1,0,-1,-1,
1645	XM_011531714.2	chr4	-	139057854	139064669	139058982	139061896	4	139057854,139060323,139061864,139064579,	139059607,139060674,139062057,139064669,	0	ELF2	cmpl	cmpl	2,2,0,-1,
205	XM_024453918.1	chr4	-	139057854	139177218	139058982	139073493	12	139057854,139060323,139061864,139067683,139071865,139073453,139116648,139117828,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139067770,139072039,139073567,139116807,139117950,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,1,0,-1,-1,-1,-1,-1,-1,
205	XM_024453919.1	chr4	-	139057854	139177218	139058982	139073493	11	139057854,139060323,139061864,139067683,139071865,139073453,139116648,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139067770,139072039,139073567,139116751,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,1,0,-1,-1,-1,-1,-1,
205	XM_024453920.1	chr4	-	139057854	139177218	139058982	139073493	9	139057854,139060323,139061864,139067683,139071865,139073453,139137629,139139412,139176966,	139059607,139060674,139062057,139067770,139072039,139073567,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,1,0,-1,-1,-1,
205	XM_024453922.1	chr4	-	139057854	139177218	139058982	139073493	11	139057854,139060323,139061864,139067683,139071865,139073453,139116648,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139067770,139072003,139073567,139116751,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,1,0,-1,-1,-1,-1,-1,
205	XM_024453924.1	chr4	-	139057854	139177218	139058982	139073493	10	139057854,139060323,139061864,139071865,139073453,139116648,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139072039,139073567,139116751,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,0,-1,-1,-1,-1,-1,
205	XM_024453925.1	chr4	-	139057854	139177218	139058982	139073493	10	139057854,139060323,139061864,139071865,139073453,139116648,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139072003,139073567,139116807,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,0,-1,-1,-1,-1,-1,
205	XM_024453926.1	chr4	-	139057854	139177218	139058982	139073493	11	139057854,139060323,139061864,139071865,139073453,139116648,139117828,139125163,139137629,139139412,139176966,	139059607,139060674,139062057,139072003,139073567,139116807,139117950,139125329,139137867,139139497,139177218,	0	ELF2	cmpl	cmpl	2,2,1,1,0,-1,-1,-1,-1,-1,-1,
862	NM_001207035.2	chr6	-	36354087	36387669	36354641	36387541	8	36354087,36366874,36368928,36371329,36373452,36375870,36385533,36387535,	36354687,36366975,36369071,36371560,36373578,36376035,36385669,36387669,	0	ETV7	cmpl	cmpl	2,0,1,1,1,1,0,0,
862	NM_001207036.1	chr6	-	36366193	36387800	36366644	36387541	7	36366193,36366874,36368928,36371329,36373452,36385533,36387535,	36366762,36366975,36369071,36371560,36373578,36385669,36387800,	0	ETV7	cmpl	cmpl	2,0,1,1,1,0,0,
862	NM_001207037.1	chr6	-	36366193	36387800	36366644	36375959	8	36366193,36366874,36368928,36371329,36373452,36375829,36385533,36387535,	36366762,36366975,36369071,36371560,36373578,36376035,36385669,36387800,	0	ETV7	cmpl	cmpl	2,0,1,1,1,0,-1,-1,
862	NM_001207038.2	chr6	-	36366193	36387669	36366644	36387541	7	36366193,36366874,36368928,36373452,36375870,36385533,36387535,	36366762,36366975,36369071,36373578,36376035,36385669,36387669,	0	ETV7	cmpl	cmpl	2,0,1,1,1,0,0,
862	NM_001207039.2	chr6	-	36354087	36387669	36354641	36387541	7	36354087,36366874,36368928,36371329,36373452,36385533,36387535,	36354687,36366975,36369071,36371560,36373578,36385669,36387669,	0	ETV7	cmpl	cmpl	2,0,1,1,1,0,0,
862	NM_001207040.1	chr6	-	36366193	36387800	36366644	36375934	7	36366193,36366874,36368928,36371329,36373452,36375870,36387535,	36366762,36366975,36369071,36371560,36373578,36376035,36387800,	0	ETV7	cmpl	cmpl	2,0,1,1,1,0,-1,
862	NM_001207041.1	chr6	-	36366193	36387800	36366644	36371540	6	36366193,36366874,36368928,36371329,36373452,36387535,	36366762,36366975,36369071,36371560,36373578,36387800,	0	ETV7	cmpl	cmpl	2,0,1,0,-1,-1,
848	NM_001252294.1	chr6	-	34537801	34556333	34538273	34544455	5	34537801,34539249,34540983,34544019,34555928,	34538452,34539396,34541181,34544484,34556333,	0	SPDEF	cmpl	cmpl	1,1,1,0,-1,
848	NM_012391.3	chr6	-	34537801	34556329	34538273	34544455	6	34537801,34539249,34539514,34540983,34544019,34555928,	34538452,34539396,34539562,34541181,34544484,34556329,	0	SPDEF	cmpl	cmpl	1,1,1,1,0,-1,
862	NM_016135.4	chr6	-	36366193	36387669	36366644	36387541	8	36366193,36366874,36368928,36371329,36373452,36375870,36385533,36387535,	36366762,36366975,36369071,36371560,36373578,36376035,36385669,36387669,	0	ETV7	cmpl	cmpl	2,0,1,1,1,1,0,0,
848	XM_005248988.5	chr6	-	34537799	34553327	34538273	34552417	6	34537799,34539249,34539514,34540983,34544019,34552230,	34538452,34539396,34539562,34541181,34544484,34553327,	0	SPDEF	cmpl	cmpl	1,1,1,1,1,0,
848	XM_011514457.3	chr6	-	34539663	34553357	34539720	34552417	4	34539663,34540983,34544019,34552230,	34539737,34541181,34544484,34553357,	0	SPDEF	cmpl	cmpl	1,1,1,0,
862	XM_011514659.1	chr6	-	36366193	36386546	36366644	36385627	8	36366193,36366874,36368928,36371329,36373452,36375870,36385533,36386400,	36366762,36366975,36369071,36371560,36373578,36376035,36385669,36386546,	0	ETV7	cmpl	cmpl	2,0,1,1,1,1,0,-1,
86	NM_001163147.1	chr7	-	13891228	13990017	13895865	13989052	12	13891228,13900737,13906429,13909631,13931501,13935707,13939116,13977426,13986637,13988085,13989007,13989562,	13896087,13900839,13906599,13909700,13931749,13935896,13939246,13977480,13986685,13988173,13989139,13990017,	0	ETV1	cmpl	cmpl	0,0,1,1,2,2,1,1,1,0,0,-1,
86	NM_001163148.1	chr7	-	13891228	13991425	13895865	13989052	13	13891228,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13986637,13988085,13989007,13990552,13991327,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13986685,13988173,13989139,13990702,13991425,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,0,0,-1,-1,
86	NM_001163149.1	chr7	-	13891228	13991240	13895865	13989052	12	13891228,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13986637,13988085,13989007,13991121,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13986685,13988173,13989139,13991240,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,0,0,-1,
86	NM_001163150.1	chr7	-	13891228	13986514	13895865	13986176	10	13891228,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13977426,13986115,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13977480,13986514,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,0,
86	NM_001163151.1	chr7	-	13891228	13986514	13895865	13986176	9	13891228,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13986115,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13986514,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,0,
86	NM_001163152.1	chr7	-	13891228	13986514	13895865	13986176	9	13891228,13900737,13906429,13909631,13911238,13931501,13939116,13977426,13986115,	13896087,13900839,13906599,13909700,13911307,13931749,13939246,13977480,13986514,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,1,1,0,
86	NM_001370555.1	chr7	-	13891228	13990706	13895865	13989052	13	13891228,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13977426,13986637,13988085,13989007,13990552,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13977480,13986685,13988173,13989139,13990706,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,0,-1,
86	NM_001370556.1	chr7	-	13891228	13989666	13895865	13989052	12	13891228,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13977426,13988085,13989007,13989562,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13977480,13988173,13989139,13989666,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,0,0,-1,
86	NM_004956.5	chr7	-	13891228	13989666	13895865	13989052	14	13891228,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13977426,13986637,13988085,13989007,13989267,13989562,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13977480,13986685,13988173,13989139,13989464,13989666,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,0,-1,-1,
86	NR_120445.1	chr7	-	13891228	13990702	13990702	13990702	15	13891228,13900737,13906429,13907792,13909631,13911238,13931501,13935707,13939116,13977426,13986637,13988085,13989007,13989267,13990552,	13896087,13900839,13906599,13907856,13909700,13911307,13931749,13935896,13939246,13977480,13986685,13988173,13989139,13989464,13990702,	0	ETV1	none	none	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
86	XM_005249635.5	chr7	-	13893028	13989696	13895865	13989052	13	13893028,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13977426,13986637,13988085,13989007,13989562,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13977480,13986685,13988173,13989139,13989696,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,0,-1,
86	XM_011515167.3	chr7	-	13893028	13988883	13895865	13988766	12	13893028,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13977426,13986637,13988085,13988679,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13977480,13986685,13988173,13988883,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,0,
86	XM_011515168.3	chr7	-	13893028	13991425	13895865	13989052	13	13893028,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13977426,13986637,13988085,13989007,13991327,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13977480,13986685,13988173,13989139,13991425,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,0,-1,
86	XM_011515170.3	chr7	-	13893028	13988895	13895865	13988843	12	13893028,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13977426,13986637,13988085,13988813,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13977480,13986685,13988173,13988895,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,0,
86	XM_024446676.1	chr7	-	13893028	13988788	13895865	13988766	11	13893028,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13986637,13988085,13988679,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13986685,13988173,13988788,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,0,0,
86	XM_024446677.1	chr7	-	13893023	13989797	13895865	13989052	12	13893023,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13986637,13988085,13989007,13989562,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13986685,13988173,13989139,13989797,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,0,0,-1,
86	XM_024446678.1	chr7	-	13893023	13989696	13895865	13989052	13	13893023,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13986637,13988085,13989007,13989267,13989562,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13986685,13988173,13989139,13989464,13989696,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,0,0,-1,-1,
86	XM_024446679.1	chr7	-	13893023	13990900	13895865	13989052	12	13893023,13900737,13906429,13909631,13911238,13931501,13935707,13939116,13986637,13988085,13989007,13990552,	13896087,13900839,13906599,13909700,13911307,13931749,13935896,13939246,13986685,13988173,13989139,13990900,	0	ETV1	cmpl	cmpl	0,0,1,1,1,2,2,1,1,0,0,-1,
948	NM_001114123.2	chrX	-	47635519	47650604	47636828	47641441	7	47635519,47637012,47637750,47638894,47641231,47649920,47650422,	47636927,47637114,47638182,47639338,47641475,47650026,47650604,	0	ELK1	cmpl	cmpl	0,0,0,0,0,-1,-1,
1577	NM_001127197.2	chrX	-	130064873	130110891	130066720	130081330	9	130064873,130069299,130071039,130071335,130072225,130074048,130074580,130081255,130110619,	130067525,130069677,130071232,130071419,130072417,130074141,130074752,130081539,130110891,	0	ELF4	cmpl	cmpl	2,2,1,1,1,1,0,0,-1,
948	NM_001257168.1	chrX	-	47635519	47650604	47637034	47641441	6	47635519,47637012,47639278,47641231,47649920,47650422,	47636927,47637052,47639338,47641475,47650026,47650604,	0	ELK1	cmpl	cmpl	-1,0,0,0,-1,-1,
1577	NM_001421.3	chrX	-	130064919	130110500	130066720	130081330	9	130064919,130069299,130071039,130071335,130072225,130074048,130074580,130081255,130110324,	130067525,130069677,130071232,130071419,130072417,130074141,130074752,130081539,130110500,	0	ELF4	cmpl	cmpl	2,2,1,1,1,1,0,0,-1,
948	NM_005229.4	chrX	-	47635519	47650604	47636828	47641441	6	47635519,47637012,47637750,47638894,47641231,47650422,	47636927,47637114,47638182,47639338,47641475,47650604,	0	ELK1	cmpl	cmpl	0,0,0,0,0,-1,
1577	XM_005262389.3	chrX	-	130064924	130086926	130066720	130081330	9	130064924,130069299,130071039,130071335,130072225,130074048,130074580,130081255,130086414,	130067525,130069677,130071232,130071419,130072417,130074141,130074752,130081539,130086926,	0	ELF4	cmpl	cmpl	2,2,1,1,1,1,0,0,-1,
1577	XM_011531307.3	chrX	-	130064924	130110531	130066720	130074623	8	130064924,130069299,130071039,130071335,130072225,130074048,130074580,130110324,	130067525,130069677,130071232,130071419,130072417,130074141,130074752,130110531,	0	ELF4	cmpl	cmpl	2,2,1,1,1,1,0,-1,
1577	XM_011531308.3	chrX	-	130064924	130074659	130066720	130074157	7	130064924,130069299,130071039,130071335,130072225,130074048,130074580,	130067525,130069677,130071232,130071419,130072417,130074208,130074659,	0	ELF4	cmpl	cmpl	2,2,1,1,1,0,-1,
946	NM_001080547.2	chr11	-	47354859	47378547	47355226	47378353	5	47354859,47358843,47359852,47375632,47378308,	47355546,47359006,47360040,47375732,47378547,	0	SPI1	cmpl	cmpl	1,0,1,0,0,
195	NM_001143820.2	chr11	-	128458764	128587558	128462360	128573130	10	128458764,128463508,128480190,128484822,128486068,128489289,128490456,128556290,128573061,128587487,	128462576,128463627,128480451,128485071,128486146,128489490,128490576,128556435,128573144,128587558,	0	ETS1	cmpl	cmpl	0,1,1,1,1,1,1,0,0,-1,
1565	NM_001162422.1	chr11	-	128458760	128522310	128462360	128521994	4	128458760,128463508,128480190,128521912,	128462576,128463627,128480451,128522310,	0	ETS1	cmpl	cmpl	0,1,1,0,
195	NM_001167681.2	chr11	+	128693915	128813267	128758195	128810988	10	128693915,128748236,128758114,128768117,128772781,128781957,128805365,128807179,128809156,128810458,	128694276,128748290,128758326,128768272,128772985,128782023,128805431,128807239,128809204,128813267,	0	FLI1	cmpl	cmpl	-1,-1,0,2,1,1,1,1,1,1,
849	NM_001206615.2	chr11	+	34621092	34663288	34642630	34658931	8	34621092,34642627,34646438,34649018,34651541,34656907,34658532,34658831,	34621228,34642727,34646684,34649081,34651610,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	-1,0,1,1,1,1,1,2,
849	NM_001206616.2	chr11	+	34632565	34663288	34632589	34658931	9	34632565,34642627,34646438,34649018,34651541,34651736,34656907,34658532,34658831,	34632652,34642727,34646684,34649081,34651610,34651805,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	0,0,1,1,1,1,1,1,2,
848	NM_001243080.2	chr11	-	34478790	34513794	34480217	34505749	5	34478790,34480771,34482430,34505628,34513676,	34480314,34480967,34482499,34505753,34513794,	0	ELF5	cmpl	cmpl	2,1,1,0,-1,
848	NM_001243081.1	chr11	-	34478794	34511799	34480217	34511569	6	34478794,34480771,34482430,34490008,34505628,34511543,	34480314,34480967,34482499,34490059,34505753,34511799,	0	ELF5	cmpl	cmpl	2,1,1,1,2,0,
195	NM_001271010.1	chr11	+	128693915	128813267	128764789	128810988	10	128693915,128758114,128764650,128768117,128772781,128781957,128805365,128807179,128809156,128810458,	128694276,128758326,128764821,128768272,128772985,128782023,128805431,128807239,128809204,128813267,	0	FLI1	cmpl	cmpl	-1,-1,0,2,1,1,1,1,1,1,
195	NM_001271012.1	chr11	+	128686534	128813267	128758316	128810988	7	128686534,128758114,128781957,128805365,128807179,128809156,128810458,	128686701,128758326,128782023,128805431,128807239,128809204,128813267,	0	FLI1	cmpl	cmpl	-1,0,1,1,1,1,1,
1565	NM_001330451.2	chr11	-	128458764	128522310	128462360	128521994	7	128458764,128463508,128484822,128486068,128489289,128490456,128521912,	128462576,128463627,128485071,128486146,128489490,128490576,128522310,	0	ETS1	cmpl	cmpl	0,1,1,1,1,1,0,
848	NM_001422.4	chr11	-	34478790	34513794	34480217	34505749	7	34478790,34480771,34482430,34490008,34493478,34505628,34513676,	34480314,34480967,34482499,34490059,34493712,34505753,34513794,	0	ELF5	cmpl	cmpl	2,1,1,1,1,0,-1,
195	NM_002017.5	chr11	+	128694071	128813267	128694258	128810988	9	128694071,128758114,128768117,128772781,128781957,128805365,128807179,128809156,128810458,	128694276,128758326,128768272,128772985,128782023,128805431,128807239,128809204,128813267,	0	FLI1	cmpl	cmpl	0,0,2,1,1,1,1,1,1,
946	NM_003120.3	chr11	-	47354859	47378547	47355226	47378353	5	47354859,47358843,47359852,47375632,47378308,	47355546,47359006,47360040,47375729,47378547,	0	SPI1	cmpl	cmpl	1,0,1,0,0,
1565	NM_005238.4	chr11	-	128458764	128522310	128462360	128521994	8	128458764,128463508,128480190,128484822,128486068,128489289,128490456,128521912,	128462576,128463627,128480451,128485071,128486146,128489490,128490576,128522310,	0	ETS1	cmpl	cmpl	0,1,1,1,1,1,1,0,
849	NM_012153.6	chr11	+	34621092	34663288	34642630	34658931	9	34621092,34642627,34646438,34649018,34651541,34651736,34656907,34658532,34658831,	34621228,34642727,34646684,34649081,34651610,34651805,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	-1,0,1,1,1,1,1,1,2,
848	NM_198381.2	chr11	-	34478790	34511724	34480217	34511569	7	34478790,34480771,34482430,34490008,34493478,34505628,34511543,	34480314,34480967,34482499,34490059,34493712,34505753,34511724,	0	ELF5	cmpl	cmpl	2,1,1,1,1,2,0,
849	XM_005252857.1	chr11	+	34632463	34663288	34632589	34658931	9	34632463,34642627,34646438,34649018,34651541,34651736,34656910,34658532,34658831,	34632652,34642727,34646684,34649081,34651610,34651805,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	0,0,1,1,1,1,1,1,2,
849	XM_005252860.1	chr11	+	34624275	34663288	34642630	34658931	9	34624275,34642627,34646438,34649018,34651541,34651736,34656907,34658532,34658831,	34624317,34642727,34646684,34649081,34651610,34651805,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	-1,0,1,1,1,1,1,1,2,
849	XM_005252861.1	chr11	+	34632463	34663288	34632589	34658931	8	34632463,34642627,34646438,34649018,34651541,34656907,34658532,34658831,	34632652,34642727,34646684,34649081,34651610,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	0,0,1,1,1,1,1,2,
849	XM_005252862.1	chr11	+	34624259	34663288	34642630	34658931	8	34624259,34642627,34646438,34649018,34651541,34656907,34658532,34658831,	34624317,34642727,34646684,34649081,34651610,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	-1,0,1,1,1,1,1,2,
849	XM_011519983.1	chr11	+	34622202	34663288	34622410	34658931	9	34622202,34642627,34646438,34649018,34651541,34651736,34656907,34658532,34658831,	34622416,34642727,34646684,34649081,34651610,34651805,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	0,0,1,1,1,1,1,1,2,
849	XM_011519984.1	chr11	+	34621092	34663288	34642630	34658931	10	34621092,34642007,34642627,34646438,34649018,34651541,34651736,34656907,34658532,34658831,	34621228,34642165,34642727,34646684,34649081,34651610,34651805,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	-1,-1,0,1,1,1,1,1,1,2,
849	XM_011519985.1	chr11	+	34642384	34663288	34642630	34658931	9	34642384,34642627,34646438,34649018,34651541,34651736,34656907,34658532,34658831,	34642463,34642727,34646684,34649081,34651610,34651805,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	-1,0,1,1,1,1,1,1,2,
946	XM_011520307.1	chr11	-	47354858	47395640	47355226	47359921	7	47354858,47358843,47359852,47375632,47379744,47382375,47395489,	47355546,47359006,47360040,47375729,47379849,47383832,47395640,	0	SPI1	cmpl	cmpl	1,0,0,-1,-1,-1,-1,
