symbol	chromosome	start	end
KMT2D	chr12	49018978	49060794
CDK4	chr12	57747727	57756013
STAB2	chr12	103587273	103766719
NCOR2	chr12	124324415	124567589
WASF3	chr13	26557683	26688948
BRCA2	chr13	32315086	32400268
RB1	chr13	48303744	48599436
RNF31	chr14	24146683	24160660
FOXA1	chr14	37589552	37596059
ARID4A	chr14	58298504	58373887
RAD51B	chr14	67819779	68730218
ZFP36L1	chr14	68787660	68796253
AKT1	chr14	104769349	104795751
MGA	chr15	41621224	41773081
TCF12	chr15	56918623	57299281
MAP2K1	chr15	66386837	66491544
BLM	chr15	90717346	90816166
AXIN1	chr16	287440	352723
TSC2	chr16	2047967	2089491
PPL	chr16	4882507	4960741
USP7	chr16	8892097	8975328
PALB2	chr16	23603160	23641310
CDH1	chr16	68737292	68835541
ZFHX3	chr16	72782885	73891871
FANCA	chr16	89737549	89816657
PRPF8	chr17	1650629	1684867
MYBBP1A	chr17	4538897	4555386
TP53	chr17	7661779	7687538
CHD3	chr17	7884796	7912760
MAP2K4	chr17	12020829	12143830
NCOR1	chr17	16029157	16218185
NF1	chr17	31094927	31382116
RAD51D	chr17	35092208	35121522
CDK12	chr17	39461486	39564907
BRCA1	chr17	43044295	43170245
ETV4	chr17	43527844	43579620
CDC27	chr17	47117703	47189422
SPOP	chr17	49598884	49678163
RNF43	chr17	58353676	58417595
BRIP1	chr17	61679139	61863528
AXIN2	chr17	65528563	65561648
UNC13D	chr17	75827225	75844552
MBD1	chr18	50266882	50281774
CTDP1	chr18	79679803	79754510
COL5A3	chr19	9959561	10010504
KEAP1	chr19	10486125	10503558
PIK3R2	chr19	18153163	18170532
AXL	chr19	41219223	41261766
ERF	chr19	42247569	42255128
ERCC2	chr19	45349837	45370918
TRPM4	chr19	49157741	49211836
CNOT3	chr19	54137749	54155681
CHD6	chr20	41402083	41618384
MATN4	chr20	45293445	45308529
GNAS	chr20	58839718	58911192
ITSN1	chr21	33642400	33899861
ERG	chr21	38380027	38661780
TMPRSS2	chr21	41464300	41531116
U2AF1	chr21	43092956	43107570
TTC28	chr22	27978014	28679865
ZNRF3	chr22	28883572	29057488
MIRLET7BHG	chr22	46053869	46113928
KDM6A	chrX	44873188	45112779
AREnhancer	chrX	66895160	66910160
AR	chrX	67544021	67730619
MED12	chrX	71118556	71142454
ZMYM3	chrX	71239624	71255146
SMARCA1	chrX	129446501	129523500
